        SRCID      OBS_ID                   RA                  DEC       EP_8_CTS             NAME
            J         10A                    D                    D              E              15A
                                           deg                  deg          count                 
         8293  0305860301   1.355768401333E+01  -3.762030272264E+01   1.072820E+02          NGC 300
         8293  0305860401   1.355825539997E+01  -3.762004221045E+01   1.296940E+02          NGC 300
         8293  0112800101   1.355760635457E+01  -3.761972364733E+01   1.758140E+02          NGC 300
         8293  0112800201   1.355776002805E+01  -3.761992003702E+01   1.169120E+02          NGC 300
         8293  0656780401   1.355744537108E+01  -3.762067048971E+01   4.555710E+01          NGC 300
        60843  0112800101   1.356671587880E+01  -3.775191988654E+01   6.931710E+01          NGC 300
        60843  0112800201   1.356535276119E+01  -3.775114458073E+01   4.570710E+01          NGC 300
       132021  0112800101   1.357559302649E+01  -3.773242305966E+01   5.335570E+01          NGC 300
        38419  0112800101   1.358333987087E+01  -3.765269431234E+01   1.892100E+02          NGC 300
        38419  0112800201   1.358320952420E+01  -3.765233763025E+01   1.072120E+02          NGC 300
        20541  0305860401   1.358815307977E+01  -3.771145416385E+01   6.366250E+01          NGC 300
        20541  0112800101   1.358801682396E+01  -3.771182169588E+01   8.667750E+01          NGC 300
        20541  0112800201   1.358768299443E+01  -3.771130778441E+01   8.501530E+01          NGC 300
        13799  0305860301   1.359191841113E+01  -3.767306180254E+01   8.817910E+01          NGC 300
        13799  0305860401   1.359171445139E+01  -3.767276610458E+01   6.343420E+01          NGC 300
        13799  0112800101   1.359225047875E+01  -3.767388779577E+01   1.133170E+02          NGC 300
        13799  0112800201   1.359317393643E+01  -3.767340503913E+01   6.544960E+01          NGC 300
        22289  0305860301   1.359333508003E+01  -3.772047194159E+01   5.331850E+01          NGC 300
        22289  0112800101   1.359330149524E+01  -3.772051390167E+01   9.782130E+01          NGC 300
        22289  0112800201   1.359407496065E+01  -3.772042361827E+01   6.963660E+01          NGC 300
        20003  0305860301   1.360457039574E+01  -3.773299589123E+01   1.219200E+02          NGC 300
        20003  0112800101   1.360426192178E+01  -3.773249941778E+01   1.354910E+02          NGC 300
        20003  0112800201   1.360431616678E+01  -3.773243963568E+01   7.078560E+01          NGC 300
        28104  0112800101   1.360503307229E+01  -3.774464002752E+01   1.205590E+02          NGC 300
        28104  0112800201   1.360583764041E+01  -3.774454958463E+01   5.621260E+01          NGC 300
        22713  0305860301   1.361961318061E+01  -3.769130330501E+01   7.872050E+01          NGC 300
        22713  0112800101   1.361916646110E+01  -3.769196116655E+01   8.877230E+01          NGC 300
        22713  0112800201   1.361867858574E+01  -3.769188948307E+01   7.154510E+01          NGC 300
         7802  0305860301   1.362738827981E+01  -3.772079155683E+01   2.325740E+02          NGC 300
         7802  0305860401   1.362757385463E+01  -3.772075919494E+01   6.601760E+01          NGC 300
         7802  0112800101   1.362736972751E+01  -3.772107107637E+01   2.885490E+02          NGC 300
         7802  0112800201   1.362745375987E+01  -3.772128308911E+01   2.151470E+02          NGC 300
         7802  0656780401   1.362706737124E+01  -3.772155520166E+01   5.862480E+01          NGC 300
        21030  0305860301   1.362780276026E+01  -3.766841124344E+01   6.364050E+01          NGC 300
        21030  0112800101   1.362744112904E+01  -3.766816175599E+01   9.746290E+01          NGC 300
        21030  0112800201   1.362769540492E+01  -3.766787951526E+01   4.028090E+01          NGC 300
       131906  0305860401   1.362807746998E+01  -3.763605151520E+01   6.020990E+01          NGC 300
        61953  0112800101   1.363010681494E+01  -3.775773079000E+01   5.247600E+01          NGC 300
        61953  0112800201   1.363134612436E+01  -3.775672126802E+01   4.705400E+01          NGC 300
        54604  0112800101   1.363148736102E+01  -3.764116249756E+01   1.272750E+02          NGC 300
        54604  0112800201   1.363224594014E+01  -3.764062397482E+01   1.166910E+02          NGC 300
        14779  0112800101   1.364062153092E+01  -3.774018233169E+01   1.540990E+02          NGC 300
        14779  0112800201   1.364137870371E+01  -3.774089516303E+01   9.122210E+01          NGC 300
        14779  0656780401   1.364076452648E+01  -3.774257872818E+01   9.710830E+01          NGC 300
         7569  0305860301   1.364114592899E+01  -3.779650840248E+01   1.677240E+02          NGC 300
         7569  0305860401   1.364081771713E+01  -3.779594929818E+01   1.122240E+02          NGC 300
         7569  0112800101   1.364113965067E+01  -3.779632452327E+01   2.985150E+02          NGC 300
         7569  0112800201   1.364113093959E+01  -3.779634710219E+01   1.667920E+02          NGC 300
         7569  0656780401   1.364061825808E+01  -3.779629631022E+01   8.225410E+01          NGC 300
        16541  0305860301   1.364127631952E+01  -3.774526732028E+01   1.653690E+02          NGC 300
        16541  0112800101   1.364140439000E+01  -3.774524334703E+01   4.569330E+02          NGC 300
        16541  0112800201   1.364157604967E+01  -3.774512214816E+01   3.748210E+02          NGC 300
        12628  0305860301   1.364950548020E+01  -3.757642161899E+01   1.346700E+02          NGC 300
        12628  0305860401   1.364981595155E+01  -3.757639288442E+01   7.327360E+01          NGC 300
        12628  0112800101   1.364930638714E+01  -3.757601605396E+01   1.046710E+02          NGC 300
        12628  0112800201   1.364973388860E+01  -3.757556952499E+01   7.731780E+01          NGC 300
        11874  0305860301   1.365647128148E+01  -3.771419129182E+01   8.114210E+01          NGC 300
        11874  0112800101   1.365660853879E+01  -3.771374044686E+01   1.478240E+02          NGC 300
        11874  0112800201   1.365695957255E+01  -3.771398487512E+01   1.088560E+02          NGC 300
        11874  0656780401   1.365655866346E+01  -3.771394127849E+01   4.977080E+01          NGC 300
         7347  0305860301   1.367007774778E+01  -3.768032868191E+01   7.710740E+02          NGC 300
         7347  0305860401   1.366984061459E+01  -3.767968034256E+01   5.157330E+02          NGC 300
         7347  0112800101   1.366961691452E+01  -3.768018772771E+01   7.131790E+02          NGC 300
         7347  0112800201   1.366986585957E+01  -3.768026772634E+01   6.542330E+02          NGC 300
         7347  0656780401   1.366979320114E+01  -3.768015640700E+01   3.310010E+02          NGC 300
         7782  0305860301   1.367171307603E+01  -3.756386433491E+01   2.113330E+02          NGC 300
         7782  0305860401   1.367136408532E+01  -3.756407751641E+01   1.939410E+02          NGC 300
         7782  0112800101   1.367140404261E+01  -3.756438329545E+01   1.887320E+02          NGC 300
         7782  0112800201   1.367069716697E+01  -3.756411194052E+01   1.094010E+02          NGC 300
         7782  0656780401   1.367128048911E+01  -3.756381870955E+01   5.909750E+01          NGC 300
        11735  0305860301   1.367759611804E+01  -3.762593414752E+01   9.740460E+01          NGC 300
        11735  0305860401   1.367701542547E+01  -3.762558190546E+01   8.332390E+01          NGC 300
        11735  0112800101   1.367720910239E+01  -3.762600594957E+01   3.370530E+02          NGC 300
        11735  0112800201   1.367779935996E+01  -3.762555281197E+01   1.267120E+02          NGC 300
       131950  0305860401   1.367732340495E+01  -3.772022801796E+01   5.416810E+01          NGC 300
         7480  0305860301   1.367745611481E+01  -3.772870274368E+01   1.456600E+02          NGC 300
         7480  0305860401   1.367731956903E+01  -3.772837387945E+01   1.457470E+02          NGC 300
         7480  0112800101   1.367725147007E+01  -3.772850225071E+01   3.969080E+02          NGC 300
         7480  0112800201   1.367740225663E+01  -3.772867860931E+01   2.506130E+02          NGC 300
         7480  0656780401   1.367705466886E+01  -3.772910095774E+01   8.626570E+01          NGC 300
         7589  0305860301   1.368512530019E+01  -3.768753179529E+01   1.603770E+02          NGC 300
         7589  0305860401   1.368532803547E+01  -3.768797541054E+01   7.464160E+01          NGC 300
         7589  0112800101   1.368494230895E+01  -3.768753286398E+01   1.982660E+02          NGC 300
         7589  0112800201   1.368506805769E+01  -3.768732576144E+01   1.025160E+02          NGC 300
         7589  0656780401   1.368526046054E+01  -3.768753124253E+01   6.928200E+01          NGC 300
        46472  0305860401   1.368780145033E+01  -3.762861935344E+01   5.646750E+01          NGC 300
        46472  0112800101   1.368720354055E+01  -3.762864867981E+01   7.716240E+01          NGC 300
         7284  0305860301   1.368860674565E+01  -3.769613456110E+01   4.876260E+02          NGC 300
